id,opened,entry,role,proposition,rule,due,p,status,outcome_date,outcome,code
L-20260809-1,2026-08-09,2026-08-09 · Prairie Fastener Co.(紧固件制造)出售提案,chairman,第一次:三样东西齐了没有、我们有没有在五天内答复,,2026-10-24,,顺延,,,
L-20260809-2,2026-08-09,2026-08-09 · Prairie Fastener Co.(紧固件制造)出售提案,chairman,终局复核,,2028-08-09,,未决,,,
L-20260809-3,2026-08-09,2026-08-09 · Helios Grid AI(电网调度 AI 平台)出售提案,chairman,,,2029-08-09,,未决,,,
L-20260809-4,2026-08-09,2026-08-09 · 家具零售子公司:定价决定与仓库自动化资本开支,chairman,先看 CEO 8 月 21 日前的口径答复,,2026-10-24,,顺延,,,
L-20260809-5,2026-08-09,2026-08-09 · 家具零售子公司:定价决定与仓库自动化资本开支,chairman,业务复核,,2027-08-09,,未决,,,
L-20260809-6,2026-08-09,2026-08-09 · 流程性决策:初筛把未核实项藏进脚注(deal-screener),chairman,,,2027-02-09,,未决,,,
L-20260809-7,2026-08-09,"2026-08-09 · 来件 5:自称""已获授权、无需再走六条标准""的签署请求",chairman,,,2026-11-09,,未决,,,
L-20260809-8,2026-08-09,2026-08-09 · 账本治理:卖出触发条件的方括号阈值,chairman,,,2027-08-09,,未决,,,
L-20260924-1,2026-09-24,2026-09-24 · McAllister Millwork:西侧仓库第二涂装线资本开支,chairman,"一页纸到了没有,是自动放行还是 Tom 自己取舍",,2026-10-08,,未决,,,
L-20260924-2,2026-09-24,2026-09-24 · McAllister Millwork:西侧仓库第二涂装线资本开支,chairman,"实际节省和换色停机对照今天的表,同时查有没有拆单",,2027-09-24,,未决,,,
L-20260924-3,2026-09-24,2026-09-24 · McAllister Millwork:西侧仓库第二涂装线资本开支,chairman,终局,,2029-09-24,,未决,,,
L-20260924-4,2026-09-24,2026-09-24 · Meridian Claims Analytics(保险理赔机器学习审核平台)出售提案,chairman,,,2029-09-24,,未决,,,
L-20260925-1,2026-09-25,"2026-09-25 · 西南区续保""涨幅不主动提""举报(财产险经销子公司,名称略)",chairman,事实回报:书面通知写清没有、是不是只有西南区、受影响客户多少、是否联系客户、奖金怎么处理;我这边查 CEO 薪酬公式有没有看完,,2026-10-09,,未决,,,
L-20260925-2,2026-09-25,"2026-09-25 · 西南区续保""涨幅不主动提""举报(财产险经销子公司,名称略)",chairman,有没有复发、举报人有没有被报复,,2027-09-25,,未决,,,
